Echolink and D Star Net Listings,Send updates / corrections to wx1der@gmail.com ,,,,,,,,Updated: 10/31/24 at 3:00 pm EDT,,,Instructions ------->,
D-Star Picture Net,,,x,,,,,9:30 PM,1:30 AM,D-Star,55D,Backup: REF 72D,
DARN Net,,,,,x,,,8:00 PM,12:00 AM,Echolink,* USA GNG *,,
David And Friends Net,x,,,,,,,8:00 AM,12:00 PM,D-Star,XRF458A,,
"Defiance, OH ARC Net",,,,x,,,,8:00 PM,12:00 AM,Echolink,K8VON-R,,
Denver Area Scout Net,,,,,,,x,7:30 PM,11:30 PM,Echolink,W0SKY-L,,
Dialog With Don Net,x,,,,,,,10:00 AM,2:00 PM,D-Star,XRF458A, ,
Digicom Cafe Ham Nuggets Net,,,,x,,,,8:00 PM,12:00 AM,Echolink,KD5DLJ,,
Digital Learning Net,,,x,,,,,9:00 PM,1:00 AM,D-Star,XRF031C,Also W0SKY-L on Echolink,
Digital Radio Enthusiasts Morning Net,x,x,x,x,x, , ,10:00 AM,2:00 PM,D-Star,35C,Backup REF XRF 035C,
Disaster Communications Forum Net,,,,,,,x,9:00 PM,1:00 AM,Echolink,*DCF-ARC *,,
East Coast Reflector Tech Net,,x,,,,,,8:00 PM,12:00 AM,Echolink,XLX 256E,,
Echolink Storm Net,,x,,,,,,8:00 PM,12:00 AM,Echolink,* GEORGIA *,,
El Paso D-Star Net,x,,,,,,,9:15 PM,1:15 AM,D-Star,55A & D-Rats,El_Paso Chat Room,
Elijay ARS Net,x,,,,,,,7:30 PM,11:30 PM,Echolink,W4HHH-R,,
Evening Checkin Net,,x,,,,,,5:30 PM,9:30 PM,D-Star,XRF458A,,
Faith And Friends Net,,,x,,,,,2:00 PM,6:00 PM,D-Star,2C,,
Fishsticks Net,,x,,,,,,8:00 PM,12:00 AM,D-Star,XRF458A,,
FL D-Star Net,,,,x,,,,9:00 PM,1:00 AM,D-Star,37C,,
Food 4 Talk Net,,,,,,x,,6:00 PM,10:00 PM,D-Star,XRF458A, ,
Friday Night 6 Alpha Roundtable Net,,,,,x,,,6:00 PM,10:00 PM,D-Star,6A,Backup: REF 48C,
GA ARES D-Rats Net,x,,,,,,,9:00 PM,1:00 AM,D-Rats,See Comment,gaares.ratflector.com,
GA Auxcomm D-Star Net,x,,,,,,,8:30 PM,12:30 AM,D-Star,3A,3rd Monday,
GARC Net,,,,,,,x,8:30 PM,12:30 AM,Echolink,K4GAR-R,,
GCRC Thursday Night Net,,,,x,,,,8:00 PM,12:00 AM,Echolink,W8ACW-R,Also On AllStar 574420,
General Motors ARC Net,x,,,,,,,8:00 PM,12:00 AM,Echolink,WW8GM-R,,
Ham Nation After Show Net,,,x,,,,,10:00 PM,2:00 AM,D-Star,14C,Every Other Wednesday,
Ham Radio Rookies Net,x,,,,,,,7:00 PM,11:00 PM,D-Star,XRF757A,Ham Radio Rookies On FB,
Hamettes Net,,x,,,,,,9:00 PM,1:00 AM,D-Star,XRF458A,,
Hams In Broadcasting Net,,,,,,,x,8:00 PM,12:00 AM,Echolink,* SBE *,,
Handi-Hams Midday Net,x,x,x,x,x,x,x,12:00 PM,4:00 PM,Echolink,* HANDIHAM *, ,
Handi-Hams Midweek Net,,,x,,,,,8:00 PM,12:00 AM,Echolink,* HANDIHAM *,,
Hazel Park Amateur Radio Club Net, , , , , , ,x,9:00 PM,1:00 AM,Echolink,W8HP-R,1st and Last Sun Only,
"Hotspot, RPi, SBC, and Zoom Net",,,x,,,,,10:00 PM,2:00 AM,D-Star,XRF458A, ,
IA D-Star Net,,,,,,x,,9:30 PM,1:30 AM,D-Star,XLX632A,Backup: XRF 632A,
IL ARA Digital Net,,,,,,,x,5:30 PM,9:30 PM,Echolink,WB0VTM-L,,
IL D-Star Net,,,x,,,,,8:00 PM,12:00 AM,D-Star,51D, ,
IL Digital Net,,,x,,,, ,9:00 PM,1:00 AM,D-Star,XRF334G,,
IN State D-Star Net,,,,x,,,,8:00 PM,12:00 AM,D-Star,24B,,
International Net,,,,,x,,,11:00 AM,3:00 PM,D-Star,XRF458A,,
Johnson CO ARES Net (Formal Net),,,,x,,,,7:00 PM,11:00 PM,D-Star,XRF458A,,
K4NET Net,x,x,x,x,x,x,x,9:00 PM,1:00 AM,Echolink,K4NET-L,,
K5TAL The American Legion Net,,,,x,,,,8:00 PM,12:00 AM,D-Star,XRF757A,See openquad.net,
KB0ZSG International D-Star Net,,,,,,,x,8:00 PM,12:00 AM,D-Star,91C,Backup: REF 6A or 48C,
Kowabunga Net,x,x,x,x,x, , ,7:30 AM,11:30 AM,Echolink, * DODROPIN *, ,
Kueka Lake ARC Net,,,,,,,x,8:00 PM,12:00 AM,Echolink,N2AAR-R,,
KY 6 Shooters Net,,,x,,,,,9:00 PM,1:00 AM,Echolink,W4PRC-R,,
KY D-Star Net,,,,x,,,,7:00 PM,11:00 PM,D-Star,56B,,
KY District 7 ARES Net,x,,,,,,,8:00 PM,12:00 AM,Echolink,KY4HS-R,,
KY District 9 ARES Net,,,,,x,,,7:15 PM,11:15 PM,Echolink,KK4WH-R,,
KY Emergency Net,x,,,,,,,7:30 PM,11:30 PM,Echolink,AF4Y-R, ,
"Lake County, KY Skywarn EL Net",,,,,,,x,8:30 PM,12:30 AM,Echolink,AC4DM-R,,
Lake Cumberland KY Area Emerg Net,,x,,,,,,8:30 PM,12:30 AM,Echolink,AC4DM-R,,
Let’s Talk Digital Net,,,,x,,,,9:00 PM,1:00 AM,D-Star,XRF458A,,
LIMARC Net,,,,,,,x,8:00 PM,12:00 AM,Echolink,W2VL-R,,
"London, KY Skywarn Net",,,,,,,x,8:00 PM,12:00 AM,Echolink,KE4GJG-R,,
"Madison County, KY ARES Net",x,,,,,,,7:00 PM,11:00 PM,Echolink,KF4REN-R,,
MD Mid-Atlantic D-Star Net,,,x,,,,,8:00 PM,12:00 AM,D-Star,62A,,
MDARC D-Star/D-Rats Net,,,,,x,,,9:30 PM,1:30 AM,D-Star,58A & D-Rats,Memphis Chat Room,
Medical Amateur Radio Council Net,,,,,, ,x,9:00 AM,1:00 PM,D-Star,XRF757A,See openquad.net,
Metro Atlanta 2m Emergency Net,x,,,,,,,9:00 PM,1:00 AM,Echolink,K4NET-L,,
MI State University ARC Net,,,,x,,,,8:00 PM,12:00 AM,Echolink,W8MSU-R,,
MI Upper Peninsula Net,,,,,,,x,8:00 PM,12:00 AM,Echolink,* MICHIGAN *,,
Mid-Atlantic D-Star Net, ,x,,,,,,8:00 PM,12:00 AM,D-Star,20A, ,
Mississauga ARC Net,,x,,,,,,8:30 PM,12:30 AM,Echolink,* TECHLINK *,Sept. thru June Only,
MN D-Star Net,,,,,,,x,8:30 PM,12:30 AM,D-Star,XLX632A,Backup: XRF 632A,
Multimode Digital Voice Net,,,,,,x,,6:00 PM,10:00 PM,D-Star,XRF757A,See openquad.net,
National History Net,,,,x,,,,11:30 PM,3:30 AM,Echolink,KB7KWK-L,,
NC And Friends D-Star Net,,x,,,,,,9:00 PM,1:00 AM,D-Star,54C,,
NE D-Star Net,,,,x,,,,10:00 PM,2:00 AM,D-Star,2C,,
"Newport, RI ARC D-Star Net",,x,,,,,,8:00 PM,12:00 AM,D-Star,69C,,
NM ARES D-Rats Net,,x,,,,,,9:30 PM,1:30 AM,D-Rats,D-Rats (W5SF),Tue before 2nd Sat,
NM D-Star Net,,,,x,,,,10:00 PM,2:00 AM,D-Star,55A,Backup: REF 72A,
North American Handshakers Net,,x,,,,,,10:00 PM,2:00 AM,Echolink,* MICHIGAN *,,
Northern UT Technical Society Net,,,,,,,x,10:00 PM,2:00 AM,D-Star,29C,,
OH Link Net,,,,,,,x,8:30 PM,12:30 AM,D-Star,XLX236A,KD8GRN-R On Echolink,
OH Statewide D-Star Net,,,,,,,x,8:00 PM,12:00 AM,D-Star,XRF038A,,
OK Section VoIP Net,x,,,,,,,10:15 PM,2:15 AM,Echolink,* WX_TALK *,,
Oswagatchie Net,,,,x,,,,7:00 PM,11:00 PM,Echolink,WA2NAN-R,,
Overland Ham Radio D-Star Net ,x,,,,,,,8:00 PM,12:00 AM,D-Star,56C,2nd Mon Only,
PAPA System Antenna Net,,,,,x,,,10:00 PM,2:00 AM,Echolink,* PAPA *,Also XRF 12A on D-Star,
PAPA System D-Star Net,,x,,,,,,11:00 PM,3:00 AM,D-Star,12A,,
"Paulding County, Georgia ARES Net",,,,x,,,,7:00 PM,11:00 PM,Echolink,WB4QOJ-R,pldares.ratflector.com,
PCARS Net,,,,x,,,,8:00 PM,12:00 AM,Echolink,K8BF-L,,
POTA (Parks On The Air) Net,x,,,,,,,9:00 PM,1:00 AM,D-Star,XRF458A,,
Professional Loafers Net,x,x,x,x,x, , ,8:30 AM,12:30 PM,Echolink,VE3PBO-R, ,
Puget Sound Repeater Afternoon Net,x,x,x,x,x,x,x,3:00 PM,7:00 PM,Echolink,WW7PSR-R, ,
Puget Sound Repeater Evening Net,x,x,x,x,x,x,x,12:00 AM,4:00 AM,Echolink,WW7PSR-R,,
Puget Sound Repeater Evening Net,x,x,x,x,x,x,x,9:00 PM,1:00 AM,Echolink,WW7PSR-R,,
Puget Sound Repeater Morning Net,x,x,x,x,x,x,x,12:00 PM,4:00 PM,Echolink,WW7PSR-R,,
QCWA 6 Meter Net,,x,,,,,,7:00 PM,11:00 PM,Echolink,KD2SL-L, ,
QCWA Digital Net, , , , , , ,x,5:00 PM,9:00 PM,D-Star,XRF757A,See openquad.net,
QCWA Sunflower Net,,,,,,x,,10:00 AM,2:00 PM,Echolink,KC5FM-R,See sunflowernet.us,
RACES/MARC Digital Net,,x,,,,,,7:30 PM,11:30 PM,D-Star,XRF757A,See openquad.net,
Radio Check Net,,,,,,x,,7:00 PM,11:00 PM,D-Star,XRF458A,,
Radio Scouting Echolink Net, , , , ,x, , ,10:00 PM,2:00 AM,Echolink,* JOTA-365 *,2nd Thu Only,
Raspberry Pi Net on Echolink,,,,,,,x,5:00 PM,9:00 PM,Echolink,* ROC-HAM *,,
Rayton ARC Fusion Net,,,x,,,,,8:00 PM,12:00 AM,D-Star,XRF458A,,
RCWA OK Link C4FM Net,,,,,,,x,9:00 PM,1:00 AM,D-Star,XLXOKLC,,
RCWA OK Link M17 Net,,,,,,x,,1:00 PM,5:00 PM,D-Star,XLXOKLC,,
RCWA Sunday Night D-Star Net,,,,,,,x,10:00 PM,2:00 AM,D-Star,XLXOKLC,,
RCWA Weekly Net,,x,,,,, ,8:00 PM,12:00 AM,Echolink,N5XQK-R,,
Richmond ARC D-Star Net,,,x,,,,,8:00 PM,12:00 AM,D-Star,62D,,
Rochester 2 Meter VHF Net,x,,,,,,,9:00 PM,1:00 AM,Echolink,KA2ENE-L, ,
Rochester 6 Meter VHF Net,,,,x,,,,9:00 PM,1:00 AM,Echolink,KA2ENE-L, ,
Sacramento Skywarn Net,,,x,,,,,10:00 PM,2:00 AM,Echolink,* SKY-GATE *,,
"Saginaw, MI Net",,,,,,,x,9:00 PM,1:00 AM,Echolink,K5SAG,,
Saturday Evening D-Star Net,,,,,,x,,8:00 PM,12:00 AM,D-Star,24A,,
Saturday Evening Ragchew Net,,,,,,x,,7:00 PM,11:00 PM,Echolink,* SCARS *,,
Saturday Night D-Star Net,,,,,,x,,10:00 PM,2:00 AM,D-Star,35C,Backup: XRF 035C,
SDF Net,,,,,,,x,7:00 PM,11:00 PM,Echolink,* HAM *,,
SE KS ARC 4-State Fusion Net,,,,x,,,,6:00 PM,12:00 AM,D-Star,XRF458A,,
Silver Comet ARS Nite Out Net,x,,,,,,,7:30 PM,11:30 PM,Echolink,WB4QOJ-R,,
Silvercreek ARA Beacon Net,,,x,,x,,x,10:00 PM,2:00 AM,Echolink,W8WKY-R,30 mins earlier on Friday,
Skywarn Hurricane Net With SRD,,,,,,x,,7:00 PM,11:00 PM,Echolink,* WX_TALK *,1st Sat Dec Only,
Skywarn Hurricane Prep Net,,,,,,x,,8:00 PM,12:00 AM,Echolink,* WX_TALK *,1st Sat January-May,
Skywarn Hurricane Prep Net,,,,,,x,,8:00 PM,12:00 AM,Echolink,* WX_TALK *,Weekly June-November,
Skywarn Youth Echolink Net,,,,,,,x,8:30 PM,12:30 AM,Echolink,N0NWS-R,,
Southeast LA D-Star Net, ,x, , , , , ,9:00 PM,1:00 AM,D-Star,48C,3rd Tue Only,
Southeastern Linked Repeaters Net,,,x,,,,,9:00 PM,1:00 AM,Echolink,KI4NGD-R,,
St Louis Gateway To The West Net,,,,,x,,,9:00 PM,1:00 AM,D-Star,XRF458A,,
Sun Coast ARC Net,,,,,,,x,7:00 PM,11:00 PM,Echolink,WA4I-R,,
Sunday Evening Ragchew Net,,,,,,,x,7:00 PM,11:00 PM,Echolink,* SCARS *,,
Sunday Night NW US D-Star Net,,,,,,,x,10:00 PM,2:00 AM,D-Star,35C,,
Sunday Night WI D-Star Net,,,,,,,x,10:00 PM,2:00 AM,D-Star,19B,,
Sunset Net,,,,,,x,,10:30 PM,2:30 AM,Echolink,VE7NZ,,
Swap Net,,,x,,,,,7:00 PM,11:00 PM,Echolink,N2DOW-L,,
Teapot and PU’s Tech Net,,,,,x,,,8:00 PM,12:00 AM,Echolink,W7AZC-L,,
The 220 Ragchewers Net,x,,,,,,,8:00 PM,12:00 AM,Echolink,W4MAV-R,,
The 6 Meter Net,,,,,,,x,7:00 PM,11:00 PM,Echolink,AG2NJ,,
The 91C Net, , ,x, , , , ,5:30 AM,9:30 AM,D-Star,91C,1 Hr Earlier On STD Time,
The AK Morning Net,x,x,x,x,x,x, ,1:00 PM,5:00 PM,Echolink,* DODROPIN *, ,
The AMR Club Net,,,,,,,x,7:00 PM,11:00 PM,Echolink,W4BOC-R,,
The ATD (All Things Digital) After Net,,x,,,,,,7:30 PM,11:30 PM,D-Star,58B, ,
The Australian Ladies Net,,,,x,,,,8:00 PM,12:00 AM,Echolink,* ALARA *,,
The Bay International Net,x,,,,,,,11:00 AM,3:00 PM,D-Star,XRF458A, ,
The Beacon Net,,,x,,,,x,10:00 PM,2:00 AM,Echolink,* FIRESIDE *,,
The Boredom Breaker Net,x,x,x,x,x,x,x,1:00 PM,5:00 PM,Echolink,N5XQK-R,,
The Coffee Shop Net,x,x,x,x,x,,,7:00 PM,11:00 PM,Echolink,* K6FN *, ,
The Crossroads Net,,,,x,,,,8:00 PM,12:00 AM,Echolink,* CROSSRDS *, ,
The Digicom Cafe Morning Net,,,,,,x,,10:00 AM,2:00 PM,Echolink,KD5DLJ,,
The Diner Net,x,x,x,x,x,,,5:00 AM,9:00 AM,D-Star,XRF458A,,
The EmComm Net,,,,,x,,,8:30 PM,12:30 AM,Echolink,* DCF-ARC *, ,
The ERC Net,x,x,x,x,x,x,x,8:15 AM,12:15 PM,Echolink,VE3ERC-R, ,
The Flying Scotsman Net,,,,,,,x,7:00 AM,11:00 AM,Echolink,* HAM *,,
The Fun Net,,x,,,,,,7:00 PM,11:00 PM,Echolink,N2AAR-R,,
The GA Net,x,,,,,,,8:00 PM,12:00 AM,Echolink,* GEORGIA *,,
The General Net,x,,,,,,,9:00 PM,1:00 AM,Echolink,N3TN-R,,
The Hammable Net,,,,,,,x,7:00 PM,11:00 PM,Echolink,KD9VPJ,,
The HF/Antenna Net,x,,,,,,,7:00 PM,11:00 PM,D-Star,XRF458A, ,
The IA Net,,,,,,,x,6:00 PM,10:00 PM,Echolink,* FRIENDS *,,
The Insomnia Net,,,x,,,,,5:00 AM,9:00 AM,D-Star,58B,When K4DJL OTR Driving,
The Intercontinental Net,,,,,,x,,12:00 PM,4:00 PM,Echolink,* SCARS *,,
The International YL Net,x,x,x,x,x,x,x,8:30 AM,12:30 PM,Echolink,* INDIA *,1 Hr Earlier On STD Time,
The K9ZEV-R Net,,x,,,,,,8:00 PM,12:00 AM,Echolink,K9ZEV-R,,
The KA2NDW Net,,,,,,,x,6:30 PM,10:30 PM,Echolink,KA2NDW,,
The Ladies Net,,x,,,,,,8:00 PM,12:00 AM,Echolink,* TALKBOX *,,
The Minow Net,,,,x,,,,10:30 PM,2:30 AM,Echolink,* ALARA *,,
The Monday Night Net,x,,,,,,,8:00 PM,12:00 AM,Echolink,W8VM-R,,
The Night Owls Net, , ,x, , , , ,3:00 AM,7:00 AM,D-Star,XRF757A,See openquad.net,
The OH Ragchew Net,,,,,,,x,8:00 AM,12:00 PM,D-Star,38A, ,
The Outdoor Adventure Net,,,,x,,,,10:30 PM,2:30 AM,Echolink,* WORLD *,,
The Papa System Outdoor Net,,,,,,,x,11:00 PM,3:00 AM,D-Star,XRF012A,Also Echolink on * PAPA *,
The Patriots Collation Net,,,,x,,,,8:00 PM,12:00 AM,Echolink,K2SRV-R,,
The Pet Net,,,,x,,,,9:30 PM,1:30 AM,Echolink,* FRIENDS *,,
The Public Service Net,x,,,,,,,8:30 PM,12:30 AM,Echolink,N3TN-R,,
The Pun In Life Net,x,,,,, ,,10:00 PM,2:00 AM,D-Star,XRF757A,,
The Rooster Roster Net,x,x,x,x,x,x,x,7:30 AM,11:30 AM,Echolink,WA2NAN-R, ,
The SARA Net,,x,,,,,,8:00 PM,12:00 AM,Echolink,W8WKY-R,,
The Southcars Net,,,,,,x,,8:00 AM,12:00 PM,Echolink,* SCARS *,,
The Sunday Night Net,,,,,,,x,8:00 PM,12:00 AM,Echolink,* SELINK *,,
The Sunshine Net,x,x,x,x,x,x,x,8:30 AM,12:30 PM,Echolink,WX4E-R,,
The SVARA Net,x,,,,,,,9:00 PM,1:00 AM,Echolink,K8DAC-R,,
The TAGYL Net,x,,,,,,,8:00 PM,12:00 AM,Echolink,* SELINK *, ,
The Techlink Net,,,,,x,,,8:00 PM,12:00 AM,Echolink,* TECHLINK *,,
The YL Net,,,,,x,,,9:30 PM,1:30 AM,Echolink,* FRIENDS *,,
The Youth Net,,,,,,,x,7:00 PM,11:00 PM,Echolink,* YACHT *,,
Tin Net,,,,x,,,,7:00 PM,11:00 PM,Echolink,* SCARS *,3rd Thu Only,
TN/AL/GA D-Star Net,,,x,,,,,7:30 PM,11:30 PM,D-Star,XRF913D, ,
Trains And Railroads Net,,,,,x,,,8:00 PM,12:00 AM,D-Star,XRF757A,See openquad.net,
TSARC Net,x,,,,,,,7:00 PM,11:00 PM,Echolink,W4EDP,,
Tuesday Night Net,,x,,,,,,8:00 PM,12:00 AM,Echolink,W8WKY-R,,
TX D-Star Net,,x,,,,,,9:00 PM,1:00 AM,D-Star,4B,,
University Of AR ARC Net,,x,,,,,,6:30 PM,10:30 PM,Echolink,W5XH-R, ,
Vagabond Ragchew Net,x,x,x,x,x, , ,2:30 PM,6:30 PM,Echolink,WB9SZL-R, ,
VE3OSR Repeater Net,,,x,,,,,7:30 PM,11:30 PM,Echolink,VE3OSR-R,,
VK1RWN D-Star Rptr Multimode Net,,,,,,,x,5:30 AM,9:30 AM,D-Star,XRF757A,UTC 1 Hr Later on DST,
W1YU Collegiate Amateur Radio Net,,x,,,,,,8:00 PM,12:00 AM,Echolink,* NEW-ENG *,,
Wake Up Net,,,,x,,,,10:00 AM,2:00 PM,D-Star,XRF458A,,
"Walton County, GA ARES D-Rats Net",x,,,,,,,8:00 PM,12:00 AM,D-Rats,See Comment,gaares.ratflector.com,
Washington Liberty ARES Net,,x,,,,,,7:30 PM,11:30 PM,Echolink,* SELINK *,,
Wednesday Night Wi D-Star Net,,,x,,,,,8:00 PM,12:00 AM,D-Star,19B,,
West AL ARC Net,,,x,,,,,9:30 PM,1:30 AM,Echolink,KC4UG-R,,
Western PA D-Star Net,x,,,,,,,9:00 PM,1:00 AM,D-Star,63C,,
Western Piedmont ARC Net,,,x,,,,,8:00 PM,12:00 PM,Echolink,KO4DBP-L,,
"Winchester, KY Pioneer ARC Net",,,,x,,,,8:45 PM,12:45 AM,Echolink,W4PRC-R,,
Windy City Net,x,,,,,,,5:30 PM,9:30 PM,D-Star,XRF458A,,
Windy City Weekend Net,,,,,x,,,5:30 PM,9:30 PM,D-Star,XRF458A,,
"Woodford County, KY ARES Net",,,,x,,,,8:00 PM,12:00 AM,Echolink,KY4WC-R,,
World Friendship Net ,x,x,x,x,x,x,,8:00 PM,12:00 AM,Echolink,* WORLD *, ,
World Radio Network Net,x,x,x,x,x,x,x,12:00 PM,4:00 PM,Echolink,* WORLD *, ,
Worldwide Friendship Net,x,x,x,x,x,x, ,10:00 AM,2:00 PM,Echolink,* FIRESIDE *, ,
Worldwide Trivia Net,x,,,,,,,8:00 PM,12:00 AM,D-Star,XRF458A,,
Y.A.C.H.T. Net,x,x,x,x,x,x, ,8:00 PM,12:00 AM,Echolink,* YACHT *, ,
YL North TX Net,,x,,,,,,8:00 PM,12:00 AM,Echolink,KG5BHY-L,OM’s welcome to checkin,
Young Operators Digital Voice Net,,,,,,,x,7:00 PM,11:00 PM,D-Star,XRF757A,See openquad.net,
